team,value_eur_m,value_gbp_m,imputed,source
Mexico,199.5,169.6,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
South Korea,122.1,103.8,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Czech Republic,160.8,136.7,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
South Africa,32.75,27.8,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Canada,189.7,161.2,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Switzerland,216.6,184.1,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Bosnia and Herzegovina,37.4,31.8,True,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Qatar,23.13,19.7,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Brazil,995.6,846.3,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Morocco,412.3,350.5,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Scotland,182.0,154.7,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Haiti,17.43,14.8,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
United States,244.1,207.5,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Turkey,335.5,285.2,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Paraguay,134.85,114.6,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Australia,24.25,20.6,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Germany,673.0,572.0,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Ecuador,296.45,252.0,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Ivory Coast,279.75,237.8,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Curaçao,14.93,12.7,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Netherlands,702.5,597.1,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Japan,286.9,243.9,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Sweden,486.5,413.5,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Tunisia,58.03,49.3,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Belgium,498.0,423.3,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Egypt,169.65,144.2,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Iran,43.3,36.8,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
New Zealand,27.55,23.4,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Spain,1160.0,986.0,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Uruguay,446.8,379.8,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Saudi Arabia,30.65,26.1,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Cape Verde,37.85,32.2,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
France,1200.0,1020.0,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Norway,456.2,387.8,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Senegal,238.6,202.8,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Iraq,79.3,67.4,True,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Argentina,700.3,595.3,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Algeria,199.75,169.8,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Austria,191.1,162.4,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Jordan,81.6,69.4,True,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Portugal,899.0,764.2,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Colombia,288.8,245.5,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
DR Congo,130.2,110.7,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Uzbekistan,70.15,59.6,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
England,1260.0,1071.0,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Croatia,297.3,252.7,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Ghana,179.93,152.9,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
Panama,22.54,19.2,False,"github:Rydholm168/per-capita-football (sustituto, fecha no documentada)"
