team,group,elo,group_winner,top2,round_of_32,round_of_16,quarter_final,semi_final,final,champion
Spain,H,2297.0,0.7181,0.9561,0.9876666666666667,0.6826333333333333,0.48083333333333333,0.34223333333333333,0.2279,0.1422
Brazil,C,2102.0,0.6245666666666667,0.8794666666666666,0.9685666666666667,0.6127,0.42533333333333334,0.27413333333333334,0.16396666666666668,0.09426666666666667
Argentina,J,2229.0,0.6606333333333333,0.8814,0.9571,0.6005666666666667,0.38893333333333335,0.26363333333333333,0.16036666666666666,0.09173333333333333
France,I,2179.0,0.5623333333333334,0.8363666666666667,0.941,0.6462333333333333,0.4214,0.26676666666666665,0.15493333333333334,0.0913
England,L,2123.0,0.6694333333333333,0.9042333333333333,0.9678666666666667,0.6722666666666667,0.4298666666666667,0.2558,0.15183333333333332,0.08666666666666667
Portugal,K,2072.0,0.5000666666666667,0.8296333333333333,0.9315666666666667,0.6450666666666667,0.31883333333333336,0.1976,0.10506666666666667,0.05566666666666667
Germany,E,2052.0,0.5074,0.8228666666666666,0.9579333333333333,0.5833333333333334,0.3169,0.17056666666666667,0.09,0.04376666666666667
Belgium,G,2005.0,0.6117333333333334,0.8493,0.9359666666666666,0.6050333333333333,0.37256666666666666,0.1763,0.0899,0.04086666666666667
Netherlands,F,2045.0,0.4671,0.7556333333333334,0.8892,0.4721,0.26966666666666667,0.1472,0.07216666666666667,0.0355
Colombia,K,2093.0,0.38856666666666667,0.7556666666666667,0.8825333333333333,0.5663333333333334,0.2552333333333333,0.14856666666666668,0.07146666666666666,0.034133333333333335
Morocco,C,2038.0,0.25603333333333333,0.6917,0.8883666666666666,0.49096666666666666,0.2753333333333333,0.1319,0.0631,0.028533333333333334
Ecuador,E,2079.0,0.33503333333333335,0.7065666666666667,0.9129666666666667,0.5042,0.2553666666666667,0.12786666666666666,0.058833333333333335,0.0276
Uruguay,H,2002.0,0.24876666666666666,0.8013666666666667,0.9123666666666667,0.43866666666666665,0.23476666666666668,0.12643333333333334,0.055733333333333336,0.025666666666666667
Switzerland,B,1998.0,0.4202666666666667,0.8210666666666666,0.9281333333333334,0.5491333333333334,0.28973333333333334,0.12546666666666667,0.053066666666666665,0.023
Japan,F,2036.0,0.30583333333333335,0.6248,0.8035,0.3838666666666667,0.20343333333333333,0.09846666666666666,0.047266666666666665,0.0209
Mexico,A,2021.0,0.6115,0.8525666666666667,0.9422333333333334,0.5560333333333334,0.2617333333333333,0.1126,0.0508,0.020466666666666668
Norway,I,2017.0,0.2702,0.6264666666666666,0.8114666666666667,0.43993333333333334,0.19863333333333333,0.096,0.044566666666666664,0.019666666666666666
Turkey,D,2030.0,0.2923,0.5730666666666666,0.7519,0.42496666666666666,0.22003333333333333,0.08863333333333333,0.037766666666666664,0.0151
Croatia,L,2009.0,0.2355,0.6719,0.8348333333333333,0.41333333333333333,0.18013333333333334,0.08003333333333333,0.03456666666666667,0.013033333333333333
Canada,B,1939.0,0.5036333333333334,0.8590666666666666,0.9499,0.5206666666666667,0.24396666666666667,0.09253333333333333,0.0344,0.012366666666666666
United States,D,1851.0,0.40126666666666666,0.6754333333333333,0.8293333333333334,0.44026666666666664,0.207,0.07446666666666667,0.028466666666666668,0.009833333333333333
Austria,J,1930.0,0.14123333333333332,0.45713333333333334,0.6866,0.2608333333333333,0.1137,0.049966666666666666,0.018866666666666667,0.007333333333333333
Paraguay,D,1961.0,0.19653333333333334,0.45686666666666664,0.6650333333333334,0.3315,0.1523,0.05586666666666667,0.0214,0.0073
Senegal,I,1966.0,0.1367,0.4066,0.6664333333333333,0.3012666666666667,0.12283333333333334,0.05043333333333333,0.019233333333333335,0.0073
Algeria,J,1916.0,0.15236666666666668,0.4730333333333333,0.6879666666666666,0.2472,0.10926666666666666,0.048433333333333335,0.0164,0.006833333333333334
Ivory Coast,E,1850.0,0.15126666666666666,0.4339,0.7645333333333333,0.32043333333333335,0.13133333333333333,0.05163333333333334,0.019666666666666666,0.0068
